name,file,height_cm,palette1,palette2,palette3,palette4,palette5
Micro Daisy,micro-daisy.jpg,50,#e3b8b6,#b39e8b,#9d795f,#84573f,#372e19
Nigella – Natural,nigella-natural.jpg,50,#c8b393,#a49477,#8b7956,#695736,#211c13
Nigella Pods – Natural,nigella-pods-natural.jpg,50,#bdaa82,#9c956d,#8c7d58,#745f43,#2b281e
Nigella – Bleached,nigella-bleached.jpg,50,#d0cbc9,#c4bbb4,#bbad9e,#b0977a,#6d583e
Oak leaves Fall,oak-leaves-fall.jpg,70,#ad635d,#a24b47,#8c3733,#721e19,#1e0805
Ammobium Flower,ammobium-flower.jpg,50,#dfd9d5,#cec1b5,#ac9e91,#735b4c,#312520
Pendula Protea- Red,pendula-protea-red.jpg,40,#fbb376,#d99c73,#c36c4f,#bb4531,#4b2a22
Queen Anne’s lace- Bleached,queen-anne-s-lace-bleached.jpg,50,#afa5a2,#a8978c,#a08975,#564431,#000001
Sponge Mushrooms,sponge-mushrooms.jpg,50,#e3b289,#daa074,#cd9063,#af744a,#4a2d1c
Rosette Protea- Natural,rosette-protea-natural.jpg,45,#e6cfc2,#d4cfce,#c78969,#82533e,#161211
Ruscus- Black,ruscus-black.jpg,70,#e8e4e7,#a8a1a5,#7e6560,#4e3b39,#110f12
Ruscus- Blue,ruscus-blue.jpg,60,#e1e1e8,#c1cad8,#82bcea,#5c9ccd,#242b32
Ruscus- Blush,ruscus-blush.jpg,70,#d2c8c3,#c5b8b2,#bcaba2,#a7968a,#47413d
Ruscus-Burgundy,ruscus-burgundy.jpg,70,#2a2928,#131212,#0e0a0a,#090001,#000000
Ruscus-Dark Blue,ruscus-dark-blue.jpg,70,#7d7e80,#1c1e31,#03043e,#00002a,#000000
Ruscus-Dark Purple,ruscus-dark-purple.jpg,70,#cfd1cf,#86858b,#3b3259,#190263,#020127
Ruscus-Fucsia,ruscus-fucsia.jpg,70,#a9989d,#7d3354,#9c055c,#840341,#54021c
Ruscus- Gold Sparkles,ruscus-gold-sparkles.jpg,70,#e7e2df,#dac19f,#bea685,#a6814d,#3b2e1e
Ruscus-Gold,ruscus-gold.jpg,70,#d5c5a2,#a18e6c,#695c4e,#212022,#010102
Ruscus- Light Blue,ruscus-light-blue.jpg,70,#e0e3e9,#d5d7de,#b9d4e4,#9ebfd2,#404246
Ruscus- Light Brown,ruscus-light-brown.jpg,70,#ddd5d3,#d7afa2,#b89e98,#a66756,#292424
Ruscus- Orange,ruscus-orange.jpg,70,#e2cfcf,#beb6b6,#cb8272,#f44d1c,#8a3725
Ruscus-Red,ruscus-red.jpg,70,#e7d8df,#dea0ad,#db6d81,#db384d,#020303
Ruscus- Red Flock,ruscus-red-flock.jpg,70,#986760,#aa3531,#b72a27,#af1d1b,#5e0e0d
Ruscus- Red,ruscus-red.jpg,70,#e7d8df,#dea0ad,#db6d81,#db384d,#020303
Ruscus-Silver,ruscus-silver.jpg,70,#534f4e,#121213,#110015,#140000,#000000
Ruscus- White,ruscus-white.jpg,70,#d5cfcf,#c9bcb6,#c7a480,#b99c81,#543f28
Ruscus-Yellow,ruscus-yellow.jpg,70,#e8e086,#e3d759,#dcd392,#cabd58,#2d2b26
Safflower,safflower.jpg,50,#a38e49,#7d6630,#5e4d24,#453415,#151408
Setaria Grass- Natural,setaria-grass-natural.jpg,70,#9a8f6b,#897e59,#796f4d,#60573b,#242014
Silene pods,silene-pods.jpg,35,#c89a7b,#4a3728,#130000,#000013,#000000
Silver King,silver-king.jpg,65,#bcbab3,#99978f,#a0705e,#76746c,#5c443a
Sorghum-Bleached,sorghum-bleached.jpg,65,#ece1d8,#ebd7c1,#e5caae,#d4ae8f,#574133
Star Flowers- Bleached,star-flowers-bleached.jpg,45,#b7b1b1,#aea49e,#a99989,#a18767,#433522
Star Flowers- Pink,star-flowers-pink.jpg,45,#dfbebf,#d9acab,#cd9a96,#b87e72,#50342b
Star Flowers- Purple,star-flowers-purple.jpg,45,#9c93c4,#7466ad,#5c4a8b,#3d2b6a,#0f0a20
Strawflower- Pink,strawflower-pink.jpg,60,#d4b0a6,#ac8177,#805b4e,#5c372d,#221912
Strawflower- Red,strawflower-red.jpg,60,#d2a268,#9f6f51,#764832,#641a11,#1e0e0b
Strawflower – Silver,strawflower-silver.jpg,40,#cdccd0,#bcb7b6,#aea296,#93806b,#493a28
Strawflower- White,strawflower-white.jpg,60,#d2c0ae,#c8b194,#bea381,#aa885f,#41301f
Strawflower- Yellow,strawflower-yellow.jpg,60,#fcc518,#fcb00b,#eaaf22,#ce871d,#472e17
Strelitzia Leaves- Natural,strelitzia-leaves-natural.jpg,100,#e5d8c8,#daba9b,#bea586,#7e674f,#070504
Thistle- Green,thistle-green.jpg,55,#908d85,#666359,#514b3e,#403d31,#201e16
Umbrella Fern,umbrella-fern.jpg,45,#d8d1ce,#c2beb2,#979b71,#767a40,#3a3a1b
Wild Thistle Purple,wild-thistle-purple.jpg,55,#201b1d,#0f090c,#0c0005,#00000e,#000000
Xeranthemum Grass,xeranthemum-grass.jpg,60,#cbc6ca,#bba798,#9b7f6b,#72524f,#2b211b
