uuid,title,artist,date,src,w,h,restriction,tags
b209c2aa-985c-4da9-8cdf-4921dbba0a0c,A Chariot Pulled by Two Men and a Goat,Cornelis Floris II; Hieronymus Cock,1552,/collections/16th-century-ornament-prints/17057953823_66dd960914_o.jpg,1000,336,,grotesques
da96dca5-a456-42bc-84a6-a7ea393026c5,Man Surrounded by Birds and Various Creatures,Cornelis Floris II; Hieronymus Cock; Johannes or Lucas van Doetecum,1557,/collections/16th-century-ornament-prints/17057950583_e04b0a5487_o.jpg,800,1193,,grotesques
1f636200-7cf6-449a-afa0-06a8cb9e56bf,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14601632401_e14f366e13_b.jpg,710,794,,grotesques
3d963cf8-b806-43ed-a856-6e8c99712544,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14624954653_fdfaabed65_b.jpg,710,754,,grotesques
4e4af0ce-9efa-4433-9e39-b9842d7202fd,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14604897405_8242f63382_b.jpg,710,782,,grotesques
7033dcd0-12de-47e7-875f-1f131e6a9bf0,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14581884546_420a04ba3c_b.jpg,710,743,,grotesques
72ffce4c-ee96-4b85-b584-8710b84de166,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14418489747_bac1c93da8_b.jpg,710,710,,grotesques
8e7a6197-b939-432e-8d2b-67d594abb9fc,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14604896205_a0029576ca_b.jpg,710,723,,grotesques
96cb720e-cce2-4abb-b176-dcef1bbb6dff,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14602899214_ce9cf07235_b.jpg,710,772,,grotesques
a5383af3-8f65-4a10-8cf2-7235d3778f1a,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14418490077_b650a52bcd_b.jpg,710,758,,grotesques
e329c08f-0a22-439e-8e76-2e6138db7acf,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14602900034_83a47b562e_b.jpg,710,781,,grotesques
e3a4b610-86ee-4826-9780-05c384e33fad,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14604306772_cc69fc090d_b.jpg,710,721,,grotesques
f72e3dcc-62fc-45e6-a4c8-b1248404d6d3,,Frans Huys; Cornelis Floris,1555,/collections/flemish-mask-designs-in-the-grotesque-style-1555/14624953613_47c5f8eeda_b.jpg,710,782,,grotesques
1bf171b8-8fab-435d-bc4c-752b512a308c,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14282884904_6c4ac12a14_z.jpg,639,615,,grotesques
1b58e69c-3f48-44e5-a5e5-49f50f68d0b8,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14096765280_a210bcb40b_z.jpg,571,640,,grotesques
1dd6aebe-3fc7-4fe9-a1f0-57d451ae5808,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14096720979_65a585ae13_c.jpg,611,800,,grotesques
2d3e110d-eecb-49d1-bc3e-217d92631240,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14096819347_22d0b1ae48_z.jpg,534,640,,grotesques
440674d4-32d5-409c-bde9-d9c06016615d,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14283366395_37b4266643_z.jpg,607,640,,grotesques
4095c1e2-9809-492f-914a-83228dc04f7d,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14283387655_7ea485f952_c.jpg,604,799,,grotesques
53b45fc2-3c47-4b5e-a86b-4221fd4670a5,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14280034711_1df6974357_c.jpg,683,800,,grotesques
5cbd2f42-858a-4849-9882-6c823274cd77,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14260250786_03e195986c_c.jpg,591,799,,grotesques
5f8d8e25-6a5b-4166-a85b-6e422023c849,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14283374845_d5bcdf359c_c.jpg,623,800,,grotesques
60ce2f19-83a1-458d-8119-2187b3c613a0,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14097326377_e00bc11086_z.jpg,542,640,,grotesques
6b6cb60b-a788-4360-bbd0-25be7a435703,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14096743240_cd21fe21a3_z.jpg,606,640,,grotesques
6368cf3a-82ec-462b-8778-57f31cc524f9,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14096743558_575768636b_z.jpg,534,640,,grotesques
7e18fc3c-bb09-4210-b8bb-f3582f85b52a,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14096761820_9201d668dc_z.jpg,586,640,,grotesques
01439622-24ea-42b4-8489-11e4c629be80,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14280027751_943e294b43_z.jpg,624,640,,grotesques
a291a01a-1598-45ea-bc4a-0a173d1623ee,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14282918134_cea2c9c250_z.jpg,640,630,,grotesques
be1e4a9e-be49-4bdb-a510-5a12a438e6e7,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14282905414_4259155b2e_z.jpg,407,639,,grotesques
c046b9e5-536c-49f7-bcbe-acdd0ab0f15b,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14283370675_3c8ebd2647_z.jpg,552,640,,grotesques
ca167e11-aa92-4cbb-b70f-57584fae9951,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14096829257_b0e02e79bf_c.jpg,558,800,,grotesques
d6247738-48e0-49ca-9358-bc4ee3371cc7,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14282896194_b874c79972_c.jpg,543,800,,grotesques
deccb3d7-2e45-40c8-b9bf-f6139f349deb,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14282899524_7bfa4f499c_z.jpg,543,640,,grotesques
dfe7d051-2b39-43fe-a6b2-56ad9e32844c,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14096763650_4000d2bd8c_c.jpg,663,800,,grotesques
e9b79b20-9a3f-4e57-b6f3-fe0f9a3d6f3e,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14280041931_857dfaa0b1_z.jpg,557,639,,grotesques
e5cd383d-dac6-486e-8ea3-7cf9c3c08ca6,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14303572503_55483b4ec1_c.jpg,609,800,,grotesques
ed68753c-c234-4018-89e6-79c5523360e8,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14280062521_896b8637ca_c.jpg,598,800,,grotesques
f1b20649-f5a5-4c4e-8d67-208349e2c23a,,Jan Christian Bierpfaff; Jeremias Falck,ca. 1645-50,/collections/an-alphabet-of-organic-type-ca-1650/14282881214_d732c6a02a_z.jpg,532,640,,grotesques
4740bd57-a9ac-4932-b396-e2b91e3a56cd,Vignette,Aubrey Beardsley,1882,/collections/aubrey-beardsley/beardsley-illustration-00006.jpg,1269,1539,,grotesque
d1fc9b9f-d223-46ae-aa41-552890495191,Withered Spring,Aubrey Beardsley,ca. 1872–98,/collections/aubrey-beardsley/beardsley-illustration-00001.jpg,2332,3990,,grotesque
bde46f80-5241-46ce-91d0-a0cfa31ae7c0,Hamlet,Aubrey Beardsley,1892,/collections/aubrey-beardsley/beardsley-illustration-00002.jpg,1340,2644,,grotesque
efb5b80e-52ad-4080-9a78-9adbaaf4367f,Incipit Vita Nova (Here begins a new life),Aubrey Beardsley,1893,/collections/aubrey-beardsley/beardsley-illustration-00004.jpg,2550,2550,,grotesque
0f3eef5e-7e5c-40cf-999d-1f58d21d6c02,Siegfried,Aubrey Beardsley,1893,/collections/aubrey-beardsley/beardsley-illustration-00007.jpg,2642,3662,,grotesque
485a2c76-fe14-4bf2-ba98-4ef7337e2ad5,Of a Neophyte and How the Black Art Was Revealed unto Him by the Fiend Asomuel,Aubrey Beardsley,1893,/collections/aubrey-beardsley/beardsley-illustration-00009.jpg,2848,3871,,grotesque
05bbe6d9-ae3f-4687-b12b-a86088e11a94,The Kiss of Judas,Aubrey Beardsley,1893,/collections/aubrey-beardsley/beardsley-illustration-00010.jpg,2186,3006,,grotesque
74564013-5cc7-47cc-838f-ffb97d38aef7,,Aubrey Beardsley,1893,/collections/aubrey-beardsley/beardsley-illustration-00012.jpg,2129,3092,,grotesque
a34d5317-97f8-4f23-90b8-66b93236092a,Design for eight initial keys,Aubrey Beardsley,ca. 1893–96,/collections/aubrey-beardsley/beardsley-illustration-00015.jpg,2256,2711,,grotesque
64ddc742-9625-42dd-a8e5-e66c15f87fe6,Title-page Design,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00021.jpg,2334,2990,,"grotesque,hybrid-figures"
30af5d6f-988c-41a5-bf0a-dcfed676b3b9,Contents-page Design,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00022.jpg,2450,2976,,"grotesque,hybrid-figures"
a6b31e21-c479-49c3-b2b0-b31bee4ae00d,The Platonic Lament,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00026.jpg,2210,3010,,grotesque
6ef89f8b-83a5-4d5f-aca0-81ceb146ec08,Enter Herodias,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00027.jpg,2274,3048,,grotesque
