uuid,title,artist,date,src,w,h,restriction,tags
c791e9bc-1bae-48af-993e-7dc6e943d1bb,A cat and dog,Joseph Brodtmann; Gottfried Mind,ca. 1820–60,/essays/gottfried-mind-the-raphael-of-cats/10-Domestic_cat_standing_on_a_block_and_a_puppy_with_its_front_paws_on_the_block_LCCN2012645549-edit.jpg,4219,3226,,"animals,cats,dog"
292c88af-6fb7-4ac2-b2fc-e926c9946704,"Facsimile of the Codex Mendoza, ca. 1541–1650",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00003.jpg,2637,3629,,"animals,cats"
d18ba8ca-9083-43ed-8c54-53222d05c732,"Facsimile of the Codex Telleriano-Remensis, mid 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00006.jpg,2436,2595,,"animals,cats"
c62be999-06d0-4eab-ab2b-33f8845091ab,"Facsimile of the Codex Telleriano-Remensis, mid 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00007.jpg,2469,2524,,"animals,cats"
333e48e7-4966-4cab-974d-b233ba3e3a95,"Facsimile of the Codex Telleriano-Remensis, mid 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00008.jpg,2770,2917,,"animals,rabbits"
786b6d9c-4ed1-4f1b-9d4c-8721b66cb1fa,"Facsimile of the Codex Bodley, ca. before 1521",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00014.jpg,3361,3094,,animals
1ec94a56-aef6-4408-9114-e6effccbee85,"Facsimile of the Codex Bodley, ca. before 1521",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00015.jpg,3438,3113,,animals
b737d283-5e81-427a-9c2a-c43dd32c361a,"Facsimile of the Codex Ríos, ca. after 1566",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00022.jpg,3276,3248,,animals
e18998d7-0f45-4050-bd67-0537371496bd,"Facsimile of the Codex Ríos, ca. after 1566",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00024.jpg,3261,3342,,animals
068f115b-977b-4089-9cc6-26d228049b59,"Facsimile of the Codex Ríos, ca. after 1566",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00031.jpg,3335,2725,,animals
dce18621-840b-4c94-913f-1a261530f573,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00036.jpg,3331,2927,,animals
8a96d5a6-f8f5-4d86-af94-66515689f5eb,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00037.jpg,3243,2944,,animals
3e7ec028-0841-4362-907e-c73c10b3272a,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00038.jpg,3361,2992,,animals
60deb0bf-afea-491d-8d71-0d525e34b651,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00039.jpg,3386,3006,,animals
f3e715a2-9a4a-49d6-bec2-c5a930d1985b,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00040.jpg,3402,2926,,animals
7b5a52c3-9e9a-4e4c-a547-f1b0366b9c91,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00041.jpg,3503,2996,,animals
98aa178e-fda4-4143-8fb2-4dd6dc96c7c5,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00042.jpg,3565,3021,,animals
10c14492-2f39-4263-b7b7-26c702837f04,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00043.jpg,3470,2899,,"animals,insects"
14bc8b6a-44e7-497d-af30-07de0dc9cc5e,"Facsimile of the Codex Vindobonensis, ca. late 15th or early 16th century",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00045.jpg,3395,2885,,animals
33477b28-bdaf-4ab0-acf6-a92ab59e41b9,"Facsimile of the Codex Fejérváry-Mayer, ca. before 1521",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00072.jpg,2241,2159,,animals
7a51490a-15b4-4280-ac1c-a219fbbf9602,"Facsimile of the Codex Fejérváry-Mayer, ca. before 1521",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00073.jpg,2158,2119,,animals
883260a2-2358-4ecd-9b27-46949b494c03,"Facsimile of the Codex Vaticanus B, ca. before 1596",Agostino Aglio,1831–48,/collections/antiquities-of-mexico/antiquities-of-mexico-00074.jpg,3775,3692,,animals
