file,uuid,title,artist,date,w,h,tags,status
wharf-rat__289e1645.jpeg,289e1645-60b8-48f6-a96c-7fac7b37db59,Wharf Rat,Henry L. Stephens,1851,3320,2300,human-animal-hybrid,ok
same-old-coon__47714ebd.jpeg,47714ebd-fd58-4a76-87b2-3bc2302b93ce,Same Old Coon,Henry L. Stephens,1851,2344,3460,human-animal-hybrid,ok
son-fish-sucker__4f1e37d1.jpeg,4f1e37d1-3ab6-43e8-94bc-e7861415277e,Son Fish / Sucker,Henry L. Stephens,1851,2992,2220,human-animal-hybrid,ok
gold-fish__5d70be4a.jpg,5d70be4a-24b7-4434-8601-bc441c9f552e,Gold Fish,Henry L. Stephens,1851,3174,2174,human-animal-hybrid,ok
gallows-bird__534d2a96.jpeg,534d2a96-bc4f-40c7-a6e5-364ece96aea7,Gallows Bird,Henry L. Stephens,1851,2217,2920,human-animal-hybrid,ok
humming-bird__6e304d78.jpg,6e304d78-c7c9-4081-87b5-5e8381aaff59,Humming Bird,Henry L. Stephens,1851,2261,3049,human-animal-hybrid,ok
milliner-bird__6cc51b6d.jpeg,6cc51b6d-5603-462a-b580-ecfd010f349b,Milliner Bird,Henry L. Stephens,1851,2248,2948,human-animal-hybrid,ok
little-dear__776fad3b.jpeg,776fad3b-56c0-4752-a5a7-d48d219986f7,Little Dear,Henry L. Stephens,1851,2084,3132,human-animal-hybrid,ok
jail-bird__752aaddb.jpeg,752aaddb-dd01-4a77-a838-6d94e42f135d,Jail Bird,Henry L. Stephens,1851,2124,2652,human-animal-hybrid,ok
gudgeon-shark__71da26f6.jpeg,71da26f6-38b3-4981-941c-68c3aebdab58,Gudgeon Shark,Henry L. Stephens,1851,3003,1977,human-animal-hybrid,ok
widow-bird__890a652b.jpeg,890a652b-866c-4413-ab72-5da803d4fe92,Widow Bird,Henry L. Stephens,1851,2204,3040,human-animal-hybrid,ok
one-of-the-rats__9db9f5aa.jpeg,9db9f5aa-39ee-4c87-86a0-5121c6ff5ea2,One of the Rats,Henry L. Stephens,1851,2919,2078,human-animal-hybrid,ok
lark__9bb6bb58.jpeg,9bb6bb58-ce4d-4ce6-98b6-699ef42d4cb2,Lark,Henry L. Stephens,1851,2368,3184,human-animal-hybrid,ok
hum-bug__9a140eea.jpg,9a140eea-5c97-467f-8602-914d6a7a352f,Hum-Bug,Henry L. Stephens,1851,2092,3072,human-animal-hybrid,ok
woodpecker__02f79a99.jpg,02f79a99-05bf-4c2c-b48a-b62328458502,Woodpecker,Henry L. Stephens,1851,2326,3234,human-animal-hybrid,ok
giraffe__0166d794.jpg,0166d794-9bec-482c-a9ed-eacfb394f595,Giraffe,Henry L. Stephens,1851,2160,3200,human-animal-hybrid,ok
king-bird__afc169d0.jpg,afc169d0-94b1-4ed7-acc0-1d30e6e608f5,King Bird,Henry L. Stephens,1851,2292,3456,human-animal-hybrid,ok
